"1","autumn","2008"
"2","winter","2009"
"3","autumn","2009"
"4","autumn","2010"
"5","winter","2011"
"6","winter","2010"
"7","summer","2010"
"8","spring","2009"
"9","spring","2006"
"10","spring","2011"
"11","autumn","2007"
"12","autumn","2006"
"13","autumn","2005"
"14","spring","2007"
"15","winter","2007"
"16","spring","2010"
"17","winter","2008"
"18","summer","2008"
"19","spring","2008"
"20","winter","2006"
"21","summer","2007"
"22","summer","2009"
"23","autumn","2011"
"24","summer","2011"
"25","winter","2012"
"26","spring","2012"
"28","spring","1998"
"29","summer","2006"
"30","winter","2005"
"31","winter","2003"
"32","spring","2005"
"33","autumn","2004"
"34","summer","2005"
"35","autumn","2002"
"36","summer","2003"
"37","autumn","2003"
"38","spring","2001"
"40","autumn","1998"
"41","winter","1999"
"42","spring","1999"
"43","summer","1999"
"44","autumn","1999"
"45","winter","2000"
"46","spring","2000"
"47","summer","2000"
"48","autumn","2000"
"49","winter","2001"
"50","summer","2001"
"51","autumn","2001"
"52","winter","2002"
"53","spring","2002"
"54","spring","2003"
"55","winter","2004"
"56","spring","2004"